adim; gercek_irtifa; olculen_irtifa; output; hedef
190;98.6597;97.6007;2.15444;100
191;98.8334;97.7758;1.73643;100
192;98.9585;98.427;1.25142;100
193;99.087;98.7806;1.28435;100
194;99.2487;98.6904;1.61686;100
195;99.362;99.1707;1.13293;100
196;99.435;99.822;0.730712;100
197;99.6394;98.8899;2.04386;100
198;99.6692;100.162;0.297964;100
199;99.8865;98.9737;2.17327;100
